Type,Name,Parent,Owner,Status,Blocked,Release,Iteration,PlanEstimate,TaskEstimate,TaskToDo,TaskActuals,Rank,Package,Description,Notes
Story,Shipping API,,paul@acme.com,In-Progress,,,,,,,,45,,"For users who want to track their packages, add the ability to see their results from outside systems.",
Story,API for Basic Shipping,Shipping API,paul@acme.com,Completed,,"Release 2 (5,6,7)",Iteration 6 (R2),2,,,,50,,"For users who want to track a single package, add the ability to see their results from outside systems.",
Task,Write Code,,dave@acme.com,Completed,,,,,3,0,,,,,
Task,API Test Harnesses,,dudley@acme.com,Completed,,,,,3,0,,,,,
Task,Automated Tests,,tara@acme.com,Completed,,,,,3,0,,,,,
Task,Run Functional Tests,,tara@acme.com,Completed,,,,,1,0,,,,,
Story,API for Multi-Site Shipping,Shipping API,paul@acme.com,Backlog,,"Release 2 (5,6,7)",Iteration 6 (R2),2,,,,51,,"For users who want to track multiple packages in a single order, add the ability to see their results from outside systems.",
Task,Write Code,,dave@acme.com,In-Progress,,,,,3,2,,,,,
Task,API Test Harnesses,,dudley@acme.com,In-Progress,,,,,3,1,,,,,
Task,Run Functional Tests,,tara@acme.com,Defined,,,,,1,1,,,,,
Task,Create automated Tests,,tara@acme.com,In-Progress,,,,,2,1,,,,,
UpdateStory,API for Basic Shipping,,,Accepted,,,,,,,,,,,
