Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,Build,DateRun,Verdict,Duration
TestCase,International Destinations for Multi-Site  Shiping,API for Multi-Site Shipping,tara@acme.com,Important,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
TestCase,Multi-Site Shipping should not affect single site shipping,API for Multi-Site Shipping,tara@acme.com,Useful,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
TestCase,Check multiple shipping methods,API for Multi-Site Shipping,tara@acme.com,Important,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
