Type,Name,WorkProduct,Owner,Priority,Package,Risk,Description,Notes,Objective,Build,DateRun,Verdict,Duration
TestCase,Promo Code GUI,Payment - Promotional Codes,tom@acme.com,Important,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
TestCase,Invalid Promo Code,Payment - Promotional Codes,tara@acme.com,Useful,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
TestCase,One Promo Code per order,Payment - Promotional Codes,tara@acme.com,Important,Shopping,Low,,,,,,,
Result,,,,,,,,,,113,-3,Pass,
Result,,,,,,,,,,114,-2,Pass,
Result,,,,,,,,,,115,-1,Fail,
